Feature	COPF
Sigma54-dependent transcription related gene cluster	49
Nocardiaceae	49
Fermentibacteraceae	49
Brevibacteriaceae	49
Dermatophilaceae	49
Rut pathway of pyrimidine degradation	49
Nakamurellaceae	49
alpha-glucoside ABC transporter	50
Citrate lyase	50
Eubacteriales Family XII. Incertae Sedis	50
Thermovirgaceae	50
Aerococcaceae	50
Syntrophomonadaceae	50
Symbiobacteriaceae	50
Desulfoplanaceae	51
Desulfonauticaceae	51
Desulfitobacteriaceae	51
Bacillales Family X. Incertae Sedis	51
Homogentisate pathway	51
Cellulosilyticaceae	51
Natranaerofabaceae	51
Heliobacteriaceae	51
Segniliparaceae	51
Lewinellaceae	51
Desertifilaceae	51
D-arabinitol utilization	51
Calditrichaceae	51
Tepidimicrobiaceae	51
Acidaminobacteraceae	51
MazEF toxin-antitoxing (programmed cell death) system	51
Oxaloacetate decarboxylase Na-pump	51
Woeseiaceae	51
Ketobacteraceae	51
Opitutaceae	51
Natronincolaceae	52
Desulfuribacillaceae	52
Sporolactobacillaceae	52
L-ascorbate utilization (and related gene clusters)	52
Enterococcaceae	52
Pseudobacteriovoracaceae	52
Hyellaceae	52
Carnobacteriaceae	52
Turicibacteraceae	52
Thermoactinomycetaceae	52
Xylanivirgaceae	53
Aphanothecaceae	53
DevBCA efflux pump transporter (of ABC type) cyanobacterial	53
Ilumatobacteraceae	53
Coenzyme B synthesis	53
Zooshikellaceae	53
Aminiphilaceae	53
Thermodesulfovibrionaceae	53
Bacillus cannibalism system	53
Ferrimonadaceae	53
Symphyonemataceae	53
Pontiellaceae	53
Nautiliaceae	53
Bryobacteraceae	53
Acaryochloridaceae	53
Desulfolunaceae	53
Desulfarculaceae	53
Magnetomoraceae	53
Haloplasmataceae	54
Spiroplasmataceae	54
Halothermotrichaceae	54
Halobacteroidaceae	54
Roseivirgaceae	54
Sulfurospirillaceae	54
Campylobacteraceae	54
Mycoplasmataceae	54
Cardiobacteriaceae	54
Thermodesulfobacteriaceae	54
Elusimicrobiaceae	54
Entomoplasmataceae	54
Ozemobacteraceae	55
Babeliaceae	55
Geitlerinemataceae	55
4-hydroxybenzoyl-CoA reductase	55
Phenol hydroxylase	55
Feifaniaceae	55
Mycobacterial cell wall virulence lipid phthiocerol dimycocerosate (PDIM)	55
Phaeocystidibacteraceae	55
Chlorosome	55
Methanofuran biosynthesis	55
Salisaetaceae	55
Smithellaceae	55
Oceanipulchritudinaceae	55
Betaine lipids in bactera	55
Sporanaerobacteraceae	55
Iron acquisition in Streptococcus	55
Hydroxyaromatic decarboxylase family	55
Ethanolamine utilization	55
Toxin-Antitoxin system HigAB	56
One-carbon metabolism by tetrahydropterines	56
Hydrogenimonadaceae	57
Polarisedimenticolaceae	57
Selenoprotein O	57
Coleofasciculaceae	57
Salibacteraceae	57
Halobacteriovoraceae	57
Fe(III) respiration - Shewanella type	57
Paraconexibacteraceae	57
Ostreibacteriaceae	57
Comchoanobacteraceae	57
Eremiobacteraceae	57
Thermodesulfatatoraceae	57
Midichloriaceae	57
Resistance to Vancomycin and Teicoplanin	57
Sandaracinaceae	57
Deferrivibrionaceae	57
Methylohalomonadaceae	57
Uabimicrobiaceae	57
Gallic acid utilization	57
Glutathionylspermidine and Trypanothione	57
Silvanigrellaceae	57
Moduliflexaceae	57
Thermosynechococcaceae	57
Polysulfide reductase EC 1.12.98.4 and Thiosulfate reductase	57
Desulfomonilaceae	57
Aminoglycoside modifying enzymes: O-phosphotransferases	57
S-methylmethionine	58
Patulibacteraceae	58
Pasteuriaceae	58
Sporulation proteins SigEG cluster	58
PE multigene family in Mycobacterium tuberculosis complex (MTBC)	58
Gloeobacteraceae	58
PPE multigene family in Mycobacterium tuberculosis complex (MTBC)	58
Magnetobacteriaceae	58
Stringent Response, (p)ppGpp metabolism	59
V-Type ATP synthase	59
Sporulation-associated proteins with broader functions	59
D-tyrosyl-tRNA(Tyr) deacylase	59
Glycogen metabolism	60
Ribosomal protein S5p acylation	60
Cell division related cluster including coaD	60
Type IV pilus	60
Glutamate dehydrogenases	61
Purine catabolism in Bacillus subtilis	61
Arsenic resistance	61
Universal stress protein family	62
HipAB system implicated in growth arrest, persistence and drug tolerance	62
Phd-Doc, YdcE-YdcD toxin-antitoxin (programmed cell death) systems	62
Methionine Salvage	62
Photosystem I	62
Moritellaceae	62
Polyunsaturated Fatty Acids synthesis	62
Carbonic anhydrase	63
2-aminophenol Metabolism	63
Periplasmic disulfide interchange	63
2-phosphoglycolate salvage	63
Arginine decarboxylase and Agmatinase cluster	63
Helicobacteraceae	64
Acholeplasmataceae	64
Sulfur transport related cluster	64
Sulfurtransferase and Ssec cluster	64
Thermoanaerobacterales Family III. Incertae Sedis	64
Filifactoraceae	64
Vallitaleaceae	64
Nicotinate catabolism, anaerobic	64
Neisseriaceae	65
Dissulfurispiraceae	65
Ignatzschineriaceae	65
Mycoplasmoidaceae	65
Nitrospinaceae	65
Petrotogaceae	65
Thermodesulfobiaceae	65
Glycine reductase, sarcosine reductase and betaine reductase	65
Gemellaceae	65
ABC transporter of unknown substrate X	65
Anaerobic dimethyl sulfoxide reductase (EC 1.8.5.3)	65
HU-alpha and dsDNA mimic protein interaction	65
Pasteurellaceae	65
Sulfuricellaceae	65
Echinimonadaceae	65
Listeria surface proteins: Internalin-like proteins	65
Fervidobacteriaceae	66
Thermincolaceae	66
Borreliaceae	66
Hfl operon	66
Salinicoccaceae	66
Abyssicoccaceae	66
Geothermincolaceae	66
Psittacicellaceae	66
Chlorophyll Degradation	66
Glycerol utilization cluster	67
Desulforegulaceae	67
Aphanizomenonaceae	67
Aerosakkonemataceae	67
Neomegalonemataceae	67
Tetracycline resistance, all mechanisms	67
Xenococcaceae	67
Metamycoplasmataceae	67
