Predictor	Feature	Importance
Mean squared error for Days Since First Sample using regressor is 12917.49177528149
Features appearing at least once
FVC	COPF 69	0.021045927591881532
FVC	COPF 124	0.02094413128170181
FVC	COPF 58	0.01846582767792227
FVC	COPF 125	0.01781974682453497
FVC	COPF 114	0.017394621193082792
FVC	COPF 27	0.01734897400450097
FVC	COPF 106	0.016933583277183365
FVC	COPF 54	0.01477058097849998
FVC	COPF 146	0.01451729347248639
FVC	COPF 140	0.014483294844190796

Mean squared error for FEV1 using regressor is 297.1803781278853
Features appearing at least once
FEV1	COPF 9	0.1085030526329733
FEV1	COPF 91	0.05034177397346182
FEV1	COPF 121	0.048074732125739865
FEV1	COPF 26	0.044154991387748345
FEV1	COPF 6	0.04376146408041076
FEV1	COPF 138	0.042442524089974294
FEV1	COPF 124	0.034101204738775
FEV1	COPF 12	0.030759913875109575
FEV1	COPF 110	0.024575465777603604
FEV1	COPF 42	0.022962048012992724
FEV1	COPF 58	0.020040656896476543
FEV1	COPF 80	0.018920953072129897
FEV1	COPF 98	0.018072132112651153
FEV1	COPF 148	0.017882417071065623
FEV1	COPF 125	0.017639334690304296
FEV1	COPF 113	0.017308183365849945
FEV1	COPF 114	0.016359553036223266
FEV1	COPF 13	0.015269412629017994
FEV1	COPF 49	0.015095706225236798
FEV1	COPF 73	0.0150876812644594

Mean squared error for Best FEV1 using regressor is 333.1451767859426
Features appearing at least once
Best FEV1	COPF 9	0.1473364825621634
Best FEV1	COPF 26	0.05978540747695294
Best FEV1	COPF 25	0.051333397684174005
Best FEV1	COPF 114	0.036998069179972934
Best FEV1	COPF 138	0.036094890497214586
Best FEV1	COPF 108	0.0347736884980783
Best FEV1	COPF 109	0.033976408771865536
Best FEV1	COPF 121	0.033735523073724016
Best FEV1	COPF 73	0.03140714402040323
Best FEV1	COPF 44	0.024153548465189155
Best FEV1	COPF 6	0.022793683281350882
Best FEV1	COPF 80	0.020243276827766384
Best FEV1	COPF 140	0.018295017386455236
Best FEV1	COPF 146	0.01614022457928962
Best FEV1	COPF 74	0.014554589125050444
Best FEV1	COPF 55	0.014031966803346837
Best FEV1	COPF 133	0.013888234450083003
Best FEV1	COPF 91	0.013772869446939656
Best FEV1	COPF 46	0.013759191342926901
Best FEV1	COPF 47	0.0134464912698019

Mean squared error for FEV1/best FEV1 using regressor is 0.007212054777004076
Features appearing at least once
FEV1/best FEV1	COPF 29	0.09916371610310724
FEV1/best FEV1	COPF 132	0.09209665236412058
FEV1/best FEV1	COPF 1	0.05345050436614005
FEV1/best FEV1	COPF 129	0.04398501612847571
FEV1/best FEV1	COPF 90	0.042940194353208505
FEV1/best FEV1	COPF 101	0.02951180413528216
FEV1/best FEV1	COPF 77	0.027258179083638583
FEV1/best FEV1	COPF 130	0.026195272984102593
FEV1/best FEV1	COPF 93	0.025160361011575642
FEV1/best FEV1	COPF 62	0.0238019488483404
FEV1/best FEV1	COPF 110	0.022658957107615313
FEV1/best FEV1	COPF 59	0.020991870362063965
FEV1/best FEV1	COPF 98	0.020126416905120185
FEV1/best FEV1	COPF 67	0.019630384565368877
FEV1/best FEV1	COPF 10	0.019624420912345494
FEV1/best FEV1	COPF 142	0.018828484073968813
FEV1/best FEV1	COPF 54	0.017498050936665628
FEV1/best FEV1	COPF 60	0.0165083130765641
FEV1/best FEV1	COPF 84	0.0160546530342509
FEV1/best FEV1	COPF 40	0.014968105650145102

Mean squared error for FEV1_RATIO_SCORE using classifier is 1.32
Features appearing at least once
FEV1_RATIO_SCORE	COPF 45	0.023909929818324755
FEV1_RATIO_SCORE	COPF 11	0.021801632767651766
FEV1_RATIO_SCORE	COPF 110	0.021687369401876724
FEV1_RATIO_SCORE	COPF 87	0.01852861550120113
FEV1_RATIO_SCORE	COPF 97	0.016796900520403182
FEV1_RATIO_SCORE	COPF 40	0.016672669902523193
FEV1_RATIO_SCORE	COPF 62	0.01597463100960035
FEV1_RATIO_SCORE	COPF 4	0.014534255100334669
FEV1_RATIO_SCORE	COPF 149	0.014072699083068544
FEV1_RATIO_SCORE	COPF 105	0.013402750851792359
FEV1_RATIO_SCORE	COPF 20	0.012532942017375022
FEV1_RATIO_SCORE	COPF 115	0.012053470195719146
FEV1_RATIO_SCORE	COPF 144	0.012045953998214313
FEV1_RATIO_SCORE	COPF 146	0.01201148547185225
FEV1_RATIO_SCORE	COPF 37	0.011594301283225564
FEV1_RATIO_SCORE	COPF 93	0.011504090891372831
FEV1_RATIO_SCORE	COPF 104	0.011025848355460438
FEV1_RATIO_SCORE	COPF 86	0.011013940586439445
FEV1_RATIO_SCORE	COPF 50	0.010973204809525476
FEV1_RATIO_SCORE	COPF 121	0.010968425519014483

Mean squared error for FEV1_Obstruction_Rank using classifier is 0.16
Features appearing at least once
FEV1_Obstruction_Rank	COPF 90	0.07155285561090885
FEV1_Obstruction_Rank	COPF 51	0.04486949042016215
FEV1_Obstruction_Rank	COPF 30	0.0433820961853315
FEV1_Obstruction_Rank	COPF 129	0.040688872236193
FEV1_Obstruction_Rank	COPF 110	0.035477216154418435
FEV1_Obstruction_Rank	COPF 50	0.029233359150556124
FEV1_Obstruction_Rank	COPF 59	0.022946913207440717
FEV1_Obstruction_Rank	COPF 88	0.02104504296153478
FEV1_Obstruction_Rank	COPF 17	0.020683173858330288
FEV1_Obstruction_Rank	COPF 71	0.020386552693280487
FEV1_Obstruction_Rank	COPF 7	0.020021408706411826
FEV1_Obstruction_Rank	COPF 1	0.019942613701333885
FEV1_Obstruction_Rank	COPF 84	0.018135923051955438
FEV1_Obstruction_Rank	COPF 62	0.018132097376014907
FEV1_Obstruction_Rank	COPF 29	0.016485161585164543
FEV1_Obstruction_Rank	COPF 5	0.016440917485192826
FEV1_Obstruction_Rank	COPF 149	0.01558129456293823
FEV1_Obstruction_Rank	COPF 98	0.01529863853125926
FEV1_Obstruction_Rank	COPF 28	0.015070463408999134
FEV1_Obstruction_Rank	COPF 52	0.012996004880353127

Mean squared error for CS_mucoid using classifier is 0.07692307692307693
Features appearing at least once
CS_mucoid	COPF 123	0.05932082056375855
CS_mucoid	COPF 51	0.034096379608266086
